"Name","Value"
"ALLUSERSPROFILE","C:\ProgramData"
"APPDATA","C:\Users\jcrequena\AppData\Roaming"
"CommonProgramFiles","C:\Program Files\Common Files"
"CommonProgramFiles(x86)","C:\Program Files (x86)\Common Files"
"CommonProgramW6432","C:\Program Files\Common Files"
"COMPUTERNAME","DESKTOP-B7KQ6AA"
"ComSpec","C:\WINDOWS\system32\cmd.exe"
"DriverData","C:\Windows\System32\Drivers\DriverData"
"EFC_5320_1262719628","1"
"EFC_5320_1592913036","1"
"EFC_5320_2283032206","1"
"EFC_5320_2775293581","1"
"EFC_5320_3789132940","1"
"FPS_BROWSER_APP_PROFILE_STRING","Internet Explorer"
"FPS_BROWSER_USER_PROFILE_STRING","Default"
"HOMEDRIVE","C:"
"HOMEPATH","\Users\jcrequena"
"LOCALAPPDATA","C:\Users\jcrequena\AppData\Local"
"LOGONSERVER","\\DESKTOP-B7KQ6AA"
"NUMBER_OF_PROCESSORS","2"
"OneDrive","C:\Users\jcrequena\OneDrive"
"OS","Windows_NT"
"Path","C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Users\jcrequena\AppData\Local\Microsoft\WindowsApps;"
"PATHEXT",".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.CPL"
"PROCESSOR_ARCHITECTURE","AMD64"
"PROCESSOR_IDENTIFIER","AMD64 Family 23 Model 1 Stepping 1, AuthenticAMD"
"PROCESSOR_LEVEL","23"
"PROCESSOR_REVISION","0101"
"ProgramData","C:\ProgramData"
"ProgramFiles","C:\Program Files"
"ProgramFiles(x86)","C:\Program Files (x86)"
"ProgramW6432","C:\Program Files"
"PSModulePath","C:\Users\jcrequena\Documents\WindowsPowerShell\Modules;C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules"
"PUBLIC","C:\Users\Public"
"SESSIONNAME","Console"
"SystemDrive","C:"
"SystemRoot","C:\WINDOWS"
"TEMP","C:\Users\JCREQU~1\AppData\Local\Temp"
"TMP","C:\Users\JCREQU~1\AppData\Local\Temp"
"USERDOMAIN","DESKTOP-B7KQ6AA"
"USERDOMAIN_ROAMINGPROFILE","DESKTOP-B7KQ6AA"
"USERNAME","admin"
"USERPROFILE","C:\Users\jcrequena"
"windir","C:\WINDOWS"